"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\controls\handleMouseDown.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\controls\handleMouseMove.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\controls\handleMouseUp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\exportUvMap\ExportUvMap.js", "JavaScript", 42, 0, 0, 0, 0, 8, 14, 64
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\mainCanvasses\canvasForColor.js", "JavaScript", 51, 0, 0, 0, 0, 1, 16, 68
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\mainCanvasses\canvasForTextures.js", "JavaScript", 51, 0, 0, 0, 0, 23, 19, 93
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\modelViewer\ModelViewer.jsx", "JavaScript JSX", 0, 83, 0, 0, 0, 118, 37, 238
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\presetColors\presetColors.js", "JavaScript", 180, 0, 0, 0, 0, 0, 2, 182
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\textureCanvasses\canvasForDesign.js", "JavaScript", 71, 0, 0, 0, 0, 11, 26, 108
"c:\Users\bnrdevelopment\Desktop\asd\src\utils\textureCanvasses\canvasForPattern.js", "JavaScript", 139, 0, 0, 0, 0, 201, 83, 423
"Total", "-", 1346, 2823, 1067, 20, 1, 594, 804, 6655
